Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
PVH,"Phillips-Van Heusen Corp",105.2,-2.09,-1.95%,106.06,102.76,817423,"14:46 ET"
PWR,"Quanta Services",32.2,-1.31,-3.91%,33,31.93,771673,"14:46 ET"
PXD,"Pioneer Natural Resources Co",140.03,-5.65,-3.88%,141.5,135.41,1547860,"14:47 ET"
PYPL,"Paypal Holdings",84.22,0.030000000000001,+0.04%,85.21,81.29,5992932,"14:47 ET"
QCOM,"Qualcomm Inc",56.25,-1.48,-2.56%,57.08,55.69,12053567,"14:47 ET"
QRVO,"Qorvo Inc",61.8,-2.36,-3.68%,62.65,60.79,1280379,"14:47 ET"
RCL,"Royal Caribbean Cruises Ltd",107.66,-1.47,-1.35%,109.2,106.21,826487,"14:47 ET"
RE,"Everest Re Group",224.11,1.61,+0.72%,224.84,218.23,203435,"14:47 ET"
REG,"Regency Centers Corp",64.2,1.01,+1.60%,64.39,62.44,622359,"14:47 ET"
REGN,"Regeneron Pharmaceutical",375.87,3.07,+0.82%,378.36,364.89,585735,"14:47 ET"
RF,"Regions Financial Corp",14.98,-0.61,-3.91%,15.25,14.81,12381477,"14:47 ET"
RHI,"Robert Half International Inc",58.49,-1.51,-2.52%,59.43,58.09,730438,"14:47 ET"
RHT,"Red Hat Inc",177.38,-0.47,-0.26%,178.09,177,1121263,"14:46 ET"
RJF,"Raymond James Financial",76.59,0.34,+0.45%,77.03,74.47,1206615,"14:47 ET"
RL,"Ralph Lauren Corp",107.79,-2.08,-1.89%,108.68,105.19,897639,"14:47 ET"
RMD,"Resmed Inc",110.54,-1.59,-1.42%,112.06,110.16,879760,"14:47 ET"
ROK,"Rockwell Automation Inc",165.36,-6.1,-3.56%,170.02,162.32,994711,"14:46 ET"
ROL,"Rollins Inc",58.02,-4.49,-7.18%,61.34,57.53,1059025,"14:47 ET"
ROP,"Roper Industries",282.09,-4.5700000000001,-1.59%,284.46,277.3,425134,"14:46 ET"
ROST,"Ross Stores Inc",79.98,-1.78,-2.18%,81.38,78.52,2490957,"14:47 ET"
RSG,"Republic Services",74.61,-1.44,-1.89%,75.64,73.8,1581711,"14:47 ET"
RTN,"Raytheon Company",166.05,0.37,+0.22%,167.18,162.31,2286611,"14:47 ET"
SBAC,"SBA Communications",168.71,-1.12,-0.66%,169.33,165.25,565178,"14:46 ET"
SBUX,"Starbucks Corp",65.89,-0.76000000000001,-1.14%,66.61,65.59,8704655,"14:47 ET"
SCG,"Scana Corp",46.74,-0.56,-1.18%,47.15,45.74,801949,"14:46 ET"
SCHW,"The Charles Schwab Corp",42.01,-1,-2.33%,42.31,41.13,9895772,"14:47 ET"
SEE,"Sealed Air Corp",34.37,-0.44,-1.26%,34.6,33.85,1809703,"14:47 ET"
SHW,"Sherwin-Williams Company",397.41,-9.19,-2.26%,404.97,394.06,751141,"14:47 ET"
